Tên	Diện tích	Mức giá	Hướng nhà	Số phòng ngủ	Số toilet	Pháp lý	lat	lon	Địa chỉ	Quận	Thành phố
Nhà mặt phố tại phường Hàng Bông	350 m²	95 tỷ		38 phòng	38 phòng	Sổ đỏ/ Sổ hồng	21.0294778147785	105.846182890561	Phường Hàng Bông, Hoàn Kiếm, Hà Nội	Hoàn Kiếm	Hà Nội
Nhà riêng tại đường Khương Trung	60 m²	7,5 tỷ		10 phòng	10 phòng	Sổ đỏ/ Sổ hồng	20.9955651	105.8175922	Đường Khương Trung, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Bán đất tại đường Tố Hữu	50 m²	6,4 tỷ				Sổ đỏ/ Sổ hồng	20.9820827	105.7696664	Đường Tố Hữu, Phường Vạn Phúc, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Hà Huy Tập	60 m²	3,4 tỷ	Đông - Bắc	3 phòng	1 phòng	Sổ đỏ/ Sổ hồng	21.0845397	105.9164987	Đường Hà Huy Tập, Xã Xã Yên Viên, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại phố Phạm Tuấn Tài	65 m²	12,7 tỷ		6 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.043684	105.7863369	Phố Phạm Tuấn Tài, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà mặt phố tại phố Hồng Mai	70 m²	18 tỷ					20.9989666	105.8558394	Phố Hồng Mai, Phường Quỳnh Mai, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Mandarin Garden	160 m²	Thỏa thuận	Đông - Bắc	4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0044841766357	105.798629760742	Dự án Mandarin Garden, Đường Hoàng Minh Giám, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Đình Hoàn	40 m²	5,65 tỷ					21.04307	105.8053139	Đường Nguyễn Đình Hoàn, Phường Quan Hoa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà biệt thự, liền kề tại Gamuda Gardens	115,5 m²	24,3 tỷ					20.9702835083008	105.871711730957	Dự án Gamuda Gardens, Đường Pháp Vân, Phường Yên Sở, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại phố Bạch Mai	55 m²	7,4 tỷ					20.9979326	105.8503243	Phố Bạch Mai, Phường Cầu Dền, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà mặt phố tại đường Tôn Thất Thuyết	120 m²	62 tỷ				Sổ đỏ/ Sổ hồng	21.0280623	105.7836622	Đường Tôn Thất Thuyết, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Đông Thiên	24 m²	2,8 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng.	20.9863974	105.878194	Đường Đông Thiên, Phường Lĩnh Nam, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà biệt thự, liền kề tại Mailand Hanoi City	145 m²	19 tỷ	Bắc			Sổ đỏ chính chủ.	21.0151062011719	105.72484588623	Dự án Mailand Hanoi City, Đường Đại lộ Thăng Long, Xã An Khánh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Căn hộ chung cư tại Dolphin Plaza	191 m²	Thỏa thuận	Tây	4 phòng	3 phòng	Sổ đỏ cất két	21.0300445556641	105.776626586914	Dự án Dolphin Plaza, Phố Trần Bình, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Dương Quảng Hàm	35 m²	5,2 tỷ		3 phòng	4 phòng	Sổ đỏ	21.0348941	105.7999083	Đường Dương Quảng Hàm, Phường Quan Hoa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Emerald	89 m²	3,6 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.02216148376465	105.77179718017578	Dự án The Emerald CT8 Mỹ Đình, Đường Đình Thôn, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Royal City	121 m²	7,5 tỷ	Đông - Nam	2 phòng	2 phòng	Sẵn sổ đỏ	21.002666473388672	105.8154296875	Dự án Royal City, Đường Nguyễn Trãi, Phường Thượng Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Dreamland Bonanza	97 m²	5,15 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.030609130859375	105.7810287475586	Dự án Dreamland Bonanza, Đường Duy Tân, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Văn Cao	35 m²	4,46 tỷ		3 phòng	4 phòng		21.0402033	105.8160685	Ngõ 67, Đường Văn Cao, Phường Liễu Giai, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Chung cư Booyoung	89 m²	3,9 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.983375549316406	105.78353118896484	Dự án Booyoung, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Trần Duy Hưng	140 m²	22,5 tỷ					21.0107492	105.799529	Đường Trần Duy Hưng, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	65,4 m²	12,8 tỷ		4 phòng	6 phòng	Sổ đỏ/ Sổ hồng	21.0438304	105.8723803	Ngõ 67, Đường Nguyễn Văn Cừ, Phường Ngọc Lâm, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại Chung cư Han Jardin	252 m²	95 triệu/m²		5 phòng		Sổ đỏ/ Sổ hồng	21.0630493164063	105.797309875488	Dự án Chung cư Han Jardin, Đường Nguyễn Văn Huyên, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà mặt phố tại đường Trần Thái Tông	75 m²	26 tỷ				Sổ đỏ/ Sổ hồng	21.031399	105.7883883	Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Thọ Am	79 m²	2,4 tỷ				Sổ đỏ/ Sổ hồng	20.9230367	105.8573701	Đường Thọ Am, Xã Liên Ninh, Thanh Trì, Hà Nội	Thanh Trì	Hà Nội
Căn hộ chung cư tại An Bình City	86 m²	4,4 tỷ	Đông	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0495662689209	105.77859497070312	Dự án An Bình City, Đường Phạm Văn Đồng, Phường Cổ Nhuế 1, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Hateco Hoàng Mai	113 m²	3 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.9627342224121	105.86434173584	Dự án Hateco Hoàng Mai, Phường Yên Sở, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Nhà riêng tại đường Hoàng Quốc Việt	65 m²	24,8 tỷ				Sổ đỏ/ Sổ hồng	21.0462988	105.7992852	Ngõ 106, Đường Hoàng Quốc Việt, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Giang Văn Minh	40 m²	5 tỷ		4 phòng	3 phòng		21.0320354	105.8269505	Đường Giang Văn Minh, Phường Kim Mã, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Căn hộ chung cư tại Khu đô thị Yên Hòa	113,8 m²	5,9 tỷ	Đông - Nam	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.01875877380371	105.7947769165039	Yên Hòa, 9, Đường Vũ Phạm Hàm, Phường Yên Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại phố Trung Kính	65 m²	11,8 tỷ				Sổ đỏ/ Sổ hồng	21.0118971	105.8012873	Phố Trung Kính, Phường Trung Hòa, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Kim Hồ	50 m²	1 tỷ				Sổ đỏ/ Sổ hồng	21.0389601	106.013324	Đường Kim Hồ, Xã Lệ Chi, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại phường Yên Nghĩa	35 m²	2,19 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.9477794398654	105.732316508555	Phường Yên Nghĩa, Quận Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Ngô Gia Tự	78 m²	8,48 tỷ		4 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0620222	105.8947907	Đường Ngô Gia Tự, Phường Việt Hưng, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	54 m²	12,8 tỷ	Tây - Nam	3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0495394	105.8834124	Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại IA20 Ciputra	92 m²	2,87 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0919170379639	105.785003662109	Dự án IA20 Ciputra, Đường Phạm Văn Đồng, Xã Đông Ngạc, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại The Emerald	103 m²	5,1 tỷ		3 phòng	2 phòng		21.02216148376465	105.77179718017578	Dự án The Emerald CT8 Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Láng	40 m²	9,5 tỷ		3 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0216524	105.8009999	Đường Láng, Phường Láng Thượng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Bán đất tại đường 35	300 m²	6 triệu/m²				Sổ đỏ/ Sổ hồng	21.314403	105.8477225	Đường 35, Xã Hồng Kỳ, Sóc Sơn, Hà Nội	Sóc Sơn	Hà Nội
Nhà biệt thự, liền kề tại Làng Việt Kiều Châu Âu Euroland	135 m²	21 tỷ					20.983457565307617	105.78564453125	Dự án Làng Việt Kiều Châu Âu Euroland, Đường Nguyễn Văn Lộc, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại phố Hoàng Sâm	60 m²	Thỏa thuận		6 phòng	6 phòng		21.0453937	105.7995951	68B Phố Hoàng Sâm, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Tô Hiệu	45 m²	7,3 tỷ		5 phòng	5 phòng	Sổ đỏ	20.9681454	105.7792863	Đường Tô Hiệu, Phường Nguyễn Trãi, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại Khu đô thị mới Linh Đàm	72 m²	1,95 tỷ	Đông - Bắc	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.97145652770996	105.82817077636719	Dự án KĐT Linh Đàm, Đường Bằng Liệt, Phường Hoàng Liệt, Hoàng Mai, Hà Nội	Hoàng Mai	Hà Nội
Căn hộ chung cư tại Khu đô thị Việt Hưng	77 m²	1,95 tỷ	Tây - Nam	2 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0526129	105.8988115	Phố Việt Hưng, Phường Việt Hưng, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại đường Nguyên Xá	32 m²	3,5 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0504899	105.741099	Đường Nguyên Xá, Phường Minh Khai, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại The Zenpark	90 m²	3,8 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.001741409301758	105.94214630126953	Dự án The Zenpark, Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Căn hộ chung cư tại Khu đô thị Mỹ Đình I	133,19 m²	4,3 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.034912109375	105.764404296875	Dự án Mỹ Đình I, Đường Trần Hữu Dực, Phường Cầu Diễn, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Nhà mặt phố tại đường Âu Cơ	245 m²	100 tỷ	Đông - Bắc	24 phòng	24 phòng	Sổ đỏ/ Sổ hồng	21.0741939	105.8241243	Đường Âu Cơ, Phường Nhật Tân, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Căn hộ chung cư tại Samsora Premier	90,5 m²	3,6 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.973217	105.778854	Samsora Premier, 05, Đường Chu Văn An, Phường Yết Kiêu, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại phố Cấm Chỉ	35 m²	18 tỷ				Sổ đỏ/ Sổ hồng	21.02894	105.84381	Phố Cấm Chỉ, Phường Hàng Bông, Hoàn Kiếm, Hà Nội	Hoàn Kiếm	Hà Nội
Nhà riêng tại đường Trần Quang Diệu	45 m²	16,99 tỷ		3 phòng	6 phòng	SỔ ĐỎ PHÂN LÔ	21.0156019	105.8245088	Đường Trần Quang Diệu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà mặt phố tại đường Trần Thái Tông	141 m²	75 tỷ		9 phòng	9 phòng	Sổ đỏ/ Sổ hồng	21.031399	105.7883883	Đường Trần Thái Tông, Phường Dịch Vọng Hậu, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Bồ Đề	40 m²	4,5 tỷ		3 phòng		Sổ đỏ/ Sổ hồng	21.038073	105.8719363	Đường Bồ Đề, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà riêng tại phố Hoàng Sâm	55 m²	9,8 tỷ		4 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0453937	105.7995951	Phố Hoàng Sâm, Phường Nghĩa Đô, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Căn hộ chung cư tại The Zenpark	73,7 m²	2,71 tỷ	Đông - Bắc	2 phòng	2 phòng		21.001741409301758	105.94214630126953	Dự án The Zenpark, Đường Đông Dư, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Căn hộ chung cư tại Megastar Dominium C2 Xuân Đỉnh	87 m²	2,2 tỷ	Tây	2 phòng	2 phòng	Hợp đồng mua bán	21.050607681274414	105.79096984863281	Dự án Megastar Tây Hồ, Phố Đỗ Nhuận, Phường Xuân Đỉnh, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Căn hộ chung cư tại Masteri West Heights	89 m²	5,77 tỷ	Tây - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.006206512451172	105.73707580566406	Dự án Masteri West Heights, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại đường Tây Mỗ	170 m²	10,5 tỷ					21.004715	105.7494182	Đường Tây Mỗ, Phường Tây Mỗ, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Căn hộ chung cư tại Bohemia Residence	127,3 m²	5,5 tỷ	Tây - Bắc	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.997404098510742	105.80406188964844	Dự án Bohemia Residence, Đường Nguyễn Huy Tưởng, Phường Thanh Xuân Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Hồ Gươm Plaza	123 m²	4,3 tỷ	Đông - Bắc	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	20.979290008544922	105.78546142578125	Dự án Hồ Gươm Plaza, Đường Trần Phú, Phường Mỗ Lao, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại phố Hoàng Cầu	50 m²	16 tỷ	Tây	6 phòng	6 phòng	Sổ sẵn giao dịch	21.0164891	105.8227091	Phố Hoàng Cầu, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Căn hộ chung cư tại phố Trần Bình	76 m²	Thỏa thuận		2 phòng	2 phòng		21.0358609	105.7785371	Phố Trần Bình, Phường Mai Dịch, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Bán đất tại đường Bùi Xương Trạch	60 m²	1,45 tỷ				Đang chờ sổ	20.9872801	105.8185879	Đường Bùi Xương Trạch, Phường Khương Trung, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Căn hộ chung cư tại Grand Sunlake	91 m²	38,5 triệu/m²	Tây - Bắc	2 phòng	2 phòng	88 Miễn tr	20.979528427124	105.787567138672	Dự án Grand Sunlake, Đường Trần Phú, Phường Văn Quán, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Bán đất tại đường Lạc Long Quân	242 m²	240 triệu/m²				Sỏ đỏ	21.0767438	105.8147711	Đường Lạc Long Quân, Phường Phú Thượng, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà riêng tại đường Trích Sài	50 m²	5,95 tỷ		5 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0494678	105.8132657	Đường Trích Sài, Phường Bưởi, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Bán đất tại xã Vân Canh	61 m²	110 triệu/m²	Tây			Sổ đỏ/ Sổ hồng			Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Đội Cấn	110 m²	26 tỷ		5 phòng	7 phòng	Sổ đỏ/ Sổ hồng	21.0349161	105.8253805	Đường Đội Cấn, Phường Đội Cấn, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà biệt thự, liền kề tại Khu nhà ở xã Tân Lập - Cienco 5	90 m²	8,55 tỷ	Tây - Bắc	5 phòng	5 phòng	Sổ đỏ, sang tên ngay	21.073583602905273	105.71309661865234	Dự án Tân Lập Cienco 5, Xã Tân Lập, Đan Phượng, Hà Nội	Đan Phượng	Hà Nội
Nhà riêng tại phố Lê Thanh Nghị	35 m²	4,35 tỷ		4 phòng		Sổ đỏ/ Sổ hồng	21.0019502	105.8467698	Phố Lê Thanh Nghị, Phường Bách Khoa, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Căn hộ chung cư tại Vinhomes Skylake	170 m²	Thỏa thuận	Đông - Bắc	3 phòng	3 phòng	Sổ đỏ/ Sổ hồng	21.0201683044434	105.780754089355	Dự án Vinhomes Skylake, Đường Phạm Hùng, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại phường Đồng Mai	65 m²	1,75 tỷ				Sổ đỏ	20.9264818857337	105.739888074518	Phường Đồng Mai, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà mặt phố tại phố An Trạch	60 m²	29,5 tỷ		8 phòng	8 phòng	Sổ đỏ/ Sổ hồng	21.0277144	105.8299819	Phố An Trạch, Phường Cát Linh, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Đào Tấn	50 m²	9,75 tỷ		8 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0325448	105.8089097	Đường Đào Tấn, Phường Liễu Giai, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường Tô Hiệu	42 m²	7,98 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	20.9681454	105.7792863	Đường Tô Hiệu, Phường Nguyễn Trãi, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Nghĩa Lộ	34 m²	1,9 tỷ		4 phòng	3 phòng	Sổ đỏ/ Sổ hồng	20.9511784	105.7397484	Đường Nghĩa Lộ, Phường Yên Nghĩa, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Căn hộ chung cư tại N02-T1 Ngoại Giao Đoàn	109 m²	6 tỷ	Tây	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0661659240723	105.798118591309	Dự án N02-T1 Ngoại Giao Đoàn, Phường Xuân Tảo, Bắc Từ Liêm, Hà Nội	Bắc Từ Liêm	Hà Nội
Nhà riêng tại đường Vân Canh	37 m²	3,1 tỷ	Tây - Bắc	4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0356385	105.7328074	Đường Vân Canh, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại đường Lê Quang Đạo	40 m²	4,6 tỷ	Đông - Bắc	4 phòng	4 phòng		21.0122732	105.7708047	Đường Lê Quang Đạo, Phường Phú Đô, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà biệt thự, liền kề tại An Lạc Green Symphony	216 m²	Thỏa thuận	Nam	5 phòng	4 phòng	Đang chờ sổ	21.03314971923828	105.73218536376953	Dự án An Lạc Green Symphony, Xã Vân Canh, Hoài Đức, Hà Nội	Hoài Đức	Hà Nội
Nhà riêng tại phố Phương Mai	39 m²	7,5 tỷ		5 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0012748	105.8393044	Phố Phương Mai, Phường Phương Mai, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà mặt phố tại đường Nguyễn Xiển	96 m²	25,9 tỷ				Sổ đỏ/ Sổ hồng	20.9871687	105.8065858	Đường Nguyễn Xiển, Phường Hạ Đình, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà riêng tại phố Xã Đàn	93 m²	13,5 tỷ					21.0117028	105.8368627	Phố Xã Đàn, Phường Phương Liên, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại phố Thái Hà	50 m²	6,75 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.012597	105.8201087	Phố Thái Hà, Phường Trung Liệt, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại đường Nguyễn Sơn	35 m²	4,6 tỷ		4 phòng	4 phòng	Sổ đỏ/ Sổ hồng.	21.0456361	105.8807065	Đường Nguyễn Sơn, Phường Bồ Đề, Long Biên, Hà Nội	Long Biên	Hà Nội
Nhà mặt phố tại phố Bà Triệu	67 m²	35 tỷ					21.0120749	105.8490416	Phố Bà Triệu, Phường Lê Đại Hành, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà mặt phố tại đường Vĩnh Tuy	45 m²	9,9 tỷ	Đông - Nam	3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.0007858152727	105.871568192065	Đường Vĩnh Tuy, Phường Vĩnh Tuy, Hai Bà Trưng, Hà Nội	Hai Bà Trưng	Hà Nội
Nhà riêng tại đường Đại Mỗ	39 m²	4,6 tỷ		4 phòng			20.9898009	105.7615252	Đường Đại Mỗ, Phường Đại Mỗ, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Bán đất tại đường 32	42 m²	380 triệu	Đông - Bắc			Sổ đỏ/ Sổ hồng	21.0914463	105.5902773	Đường 32, Xã Trạch Mỹ Lộc, Phúc Thọ, Hà Nội	Phúc Thọ	Hà Nội
Căn hộ chung cư tại Eurowindow River Park	81,2 m²	1,85 tỷ	Tây - Bắc	3 phòng	2 phòng	Hợp đồng mua bán	21.0823497772217	105.871757507324	Dự án Eurowindow River Park, Đường 5, Xã Đông Hội, Đông Anh, Hà Nội	Đông Anh	Hà Nội
Nhà riêng tại phố Xã Đàn	25 m²	3,8 tỷ		3 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0160174	105.8326225	Phố Xã Đàn, Phường Ô Chợ Dừa, Đống Đa, Hà Nội	Đống Đa	Hà Nội
Nhà riêng tại phố Cự Lộc	38 m²	5,95 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0001715	105.8141863	Phố Cự Lộc, Phường Nhân Chính, Thanh Xuân, Hà Nội	Thanh Xuân	Hà Nội
Nhà biệt thự, liền kề tại Xuân Phương Tasco	120 m²	105 triệu/m²				Hợp đồng mua bán	21.025352478027344	105.74130249023438	Dự án Xuân Phương Tasco, Phường Xuân Phương, Nam Từ Liêm, Hà Nội.	Nam Từ Liêm	Hà Nội
Nhà riêng tại đường Mỹ Đình	32 m²	4,55 tỷ		3 phòng	4 phòng	Sổ đỏ/ Sổ hồng	21.0237213	105.7741546	Ngõ 322, đường Mỹ Đình, Phường Mỹ Đình 1, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Nhà mặt phố tại phố Hàng Gà	75 m²	75 tỷ		6 phòng	10 phòng	Sổ đỏ đẹp, vuông vắn, chính chủ sẵn sàng giao dịch	21.034437	105.8470165	Phố Hàng Gà, Phường Cửa Đông, Hoàn Kiếm, Hà Nội	Hoàn Kiếm	Hà Nội
Bán đất tại đường Thuận Quang	65 m²	1,65 tỷ				Sổ đỏ/ Sổ hồng	21.0035218	105.9665646	Đường Thuận Quang, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại đường Đào Tấn	50 m²	8,5 tỷ		4 phòng	5 phòng	Đã có sổ	21.0325448	105.8089097	Đường Đào Tấn, Phường Cống Vị, Ba Đình, Hà Nội	Ba Đình	Hà Nội
Nhà riêng tại đường Lạc Long Quân	64 m²	14,2 tỷ	Đông - Nam	5 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0610134	105.809127	Đường Lạc Long Quân, Phường Xuân La, Tây Hồ, Hà Nội	Tây Hồ	Hà Nội
Nhà biệt thự, liền kề tại Khu đô thị Văn Khê	108 m²	Thỏa thuận	Đông - Bắc	6 phòng	7 phòng	Sổ đỏ	20.972412109375	105.761528015137	Dự án Văn Khê, Đường Tố Hữu, Phường La Khê, Hà Đông, Hà Nội	Hà Đông	Hà Nội
Nhà riêng tại đường Xuân Thủy	48 m²	5,5 tỷ					21.0365322	105.7888316	Đường Xuân Thủy, Phường Dịch Vọng, Cầu Giấy, Hà Nội	Cầu Giấy	Hà Nội
Nhà riêng tại đường Nguyễn Văn Cừ	42 m²	7,5 tỷ		5 phòng			21.0495394	105.8834124	Đường Nguyễn Văn Cừ, Phường Gia Thụy, Long Biên, Hà Nội	Long Biên	Hà Nội
Căn hộ chung cư tại FLC Complex 36 Phạm Hùng	98 m²	4,35 tỷ		3 phòng	2 phòng	Sổ đỏ/ Sổ hồng	21.02819061279297	105.7791976928711	Dự án FLC Complex Phạm Hùng, Đường Phạm Hùng, Phường Mỹ Đình 2, Nam Từ Liêm, Hà Nội	Nam Từ Liêm	Hà Nội
Bán đất tại xã Phú Cát	300 m²	33 triệu/m²	Đông - Nam			Sổ hồng HN			Xã Phú Cát, Quốc Oai, Hà Nội	Quốc Oai	Hà Nội
Shophouse, nhà phố thương mại tại Vinhomes Ocean Park Gia Lâm	70 m²	12,5 tỷ				Sổ đỏ/ Sổ hồng	21.00241470336914	105.964111328125	Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội	Gia Lâm	Hà Nội
Nhà riêng tại phố Xã Đàn	34 m²	5,7 tỷ		4 phòng	5 phòng	Sổ đỏ/ Sổ hồng	21.0168216	105.8318746	Phố Xã Đàn, Phường Nam Đồng, Đống Đa, Hà Nội	Đống Đa	Hà Nội
